#Threads	Array Size	Time0	GOPS0	Time1	GOPS1	T_GOPS1	REPS	BW1	BW2	T_BW	-2147483646	-2147483648	-2147483647	-2147483645	-2147483598	-2147483625	-2147483624	-2147483628	-2147483627	-2147483611	-2147483585	-2147483596	-2147483583	-2147483546	-2147483582
4	 352 	2.19	7.49	2.19	7.47	29.89	" 46,545,454 "	89.89	89.70	358.78	 310 	" 1,104 "	 982 	 217 	" 17,640,732,769 "	 418 	 644 	 11 	 9 	" 255,101,563 "	 700 	 -   	 866 	 -   	 231 
8	 352 	2.24	7.30	2.24	7.30	58.40	" 46,545,454 "	87.54	87.56	700.45	 355 	" 2,050 "	 546 	 224 	" 17,641,155,084 "	" 1,321 "	 609 	 24 	 16 	" 272,618,332 "	" 1,672 "	 -   	" 1,791 "	 -   	 264 
12	 352 	4.35	3.77	4.36	3.76	45.12	" 46,545,454 "	45.21	45.12	541.49	 563 	" 27,517 "	 988 	 262 	" 17,642,390,489 "	" 15,686 "	" 5,773 "	 43 	 28 	" 448,708,795 "	" 22,996 "	 50 	" 22,389 "	 50 	 384 
16	 352 	4.49	3.65	4.49	3.65	58.40	" 46,545,454 "	43.81	43.81	700.96	 663 	" 48,510 "	 474 	 180 	" 17,641,100,382 "	" 25,240 "	" 23,245 "	 28 	 20 	" 504,700,396 "	" 48,523 "	 -   	" 47,204 "	 -   	 536 
1	 384 	2.34	7.44	2.01	8.17	8.17	" 42,666,666 "	89.28	98.04	98.04	 380 	" 1,364 "	 332 	 194 	" 17,621,338,268 "	 949 	 440 	 8 	 7 	" 235,829,360 "	" 1,101 "	 -   	" 1,394 "	 -   	 202 
4	 384 	2.19	7.49	2.17	7.54	30.14	" 42,666,666 "	89.86	90.46	361.86	 364 	" 2,906 "	 523 	 205 	" 17,621,338,806 "	" 1,628 "	 956 	 14 	 12 	" 230,474,579 "	" 2,337 "	 -   	" 2,508 "	 -   	 269 
8	 384 	2.24	7.30	2.24	7.30	58.43	" 42,666,666 "	87.60	87.63	701.04	 497 	" 1,606 "	" 3,315 "	 240 	" 17,621,830,783 "	 794 	 361 	 26 	 16 	" 234,765,575 "	 700 	 -   	 864 	 -   	 316 
12	 384 	4.23	3.88	4.24	3.87	46.46	" 42,666,666 "	46.61	46.44	557.26	 516 	" 23,702 "	 844 	 250 	" 17,623,140,124 "	" 20,559 "	" 8,592 "	 46 	 39 	" 392,513,637 "	" 22,834 "	 91 	" 33,165 "	 91 	 365 
16	 384 	4.49	3.65	4.49	3.65	58.34	" 42,666,666 "	43.82	43.79	700.58	 531 	" 60,558 "	 605 	 185 	" 17,621,965,593 "	" 40,904 "	" 19,683 "	 20 	 16 	" 451,388,321 "	" 61,425 "	 -   	" 61,542 "	 -   	 451 
1	 416 	2.03	8.06	2.04	8.02	8.02	" 39,384,615 "	96.75	96.20	96.20	 469 	 856 	 343 	 200 	" 17,604,928,104 "	 546 	 323 	 10 	 8 	" 206,314,636 "	 695 	 -   	 910 	 -   	 197 
4	 416 	2.17	7.54	2.17	7.55	30.20	" 39,384,615 "	90.51	90.59	362.37	 310 	" 2,021 "	 361 	 199 	" 17,604,928,666 "	" 1,099 "	 965 	 8 	 7 	" 209,871,199 "	" 1,719 "	 -   	" 2,086 "	 -   	 216 
8	 416 	2.24	7.31	2.24	7.31	58.48	" 39,384,615 "	87.75	87.76	702.11	 409 	" 2,186 "	 993 	 214 	" 17,605,351,953 "	" 7,094 "	" 1,522 "	 12 	 12 	" 212,147,482 "	" 1,617 "	 -   	" 2,056 "	 -   	 379 
12	 416 	4.06	4.06	4.21	3.90	46.85	" 39,384,615 "	48.67	46.83	561.98	 562 	" 35,239 "	 893 	 252 	" 17,606,550,310 "	" 23,940 "	" 11,975 "	 42 	 30 	" 396,197,294 "	" 46,790 "	 64 	" 32,438 "	 64 	 396 
16	 416 	4.48	3.65	4.48	3.65	58.46	" 39,384,615 "	43.86	43.86	701.76	 732 	" 61,396 "	 785 	 194 	" 17,605,324,077 "	" 41,875 "	" 19,063 "	 24 	 19 	" 429,973,968 "	" 60,144 "	 -   	" 59,311 "	 -   	 618 
1	 448 	2.01	8.14	2.02	8.11	8.11	" 36,571,428 "	97.73	97.33	97.33	 522 	" 1,341 "	 484 	 202 	" 17,590,862,163 "	 503 	 491 	 11 	 8 	" 200,759,129 "	 674 	 -   	 876 	 -   	 229 
4	 448 	2.19	7.50	2.18	7.50	30.01	" 36,571,428 "	89.99	90.04	360.14	 336 	" 2,584 "	 435 	 204 	" 17,590,906,413 "	" 1,428 "	" 1,118 "	 12 	 11 	" 203,414,980 "	" 2,337 "	 -   	" 2,484 "	 -   	 244 
8	 448 	2.24	7.32	2.24	7.32	58.53	" 36,571,428 "	87.79	87.78	702.27	 371 	" 2,314 "	 743 	 206 	" 17,591,268,822 "	" 1,490 "	 761 	 18 	 16 	" 203,885,675 "	" 1,877 "	 -   	" 2,136 "	 -   	 276 
12	 448 	4.07	4.04	4.30	3.81	45.74	" 36,571,428 "	48.48	45.73	548.81	 462 	" 41,067 "	 502 	 231 	" 17,592,439,106 "	" 31,980 "	" 13,929 "	 38 	 31 	" 328,639,592 "	" 38,621 "	 82 	" 42,559 "	 82 	 482 
